game,publisher,publisher2,genre,genre_ma,genre_mi,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
187: Ride or Die,Ubisoft,Ubisoft,Racing,Racing,NA,2005,2005,M,M,4,4,2,2,51,No,0.05,0.01,NA,NA,0.06
2002 FIFA World Cup,Electronic Arts,Electronic Arts,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,79,No,0.14,0.04,NA,0.01,0.19
25 to Life,Eidos Interactive,Eidos Interactive,Shooter,Shooter,NA,2006,2006,M,M,1,1,NA,NA,41,No,0.12,0.04,NA,0.01,0.17
4x4 EVO 2,Gathering of Developers,Other,Racing,Racing,NA,2001,2002,E,E,2,2,NA,NA,59,No,0.18,0.05,NA,0.01,0.24
50 Cent: Bulletproof,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,50,No,0.33,0.1,NA,0.02,0.44
Advent Rising,THQ,THQ,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,68,Yes,0.1,0.03,NA,NA,0.13
Aeon Flux,THQ,THQ,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,69,No,0.01,NA,NA,NA,0.01
AFL Live 2003,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
AFL Live 2004,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
AFL Live Premiership Edition,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Aggressive Inline,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2002,2002,T,T,2,2,NA,NA,85,No,0.05,0.01,NA,NA,0.06
AirForce Delta Storm,Konami Digital Entertainment,Konami Digital Entertainment,Shooter,Shooter,NA,2001,2002,E,E,1,1,NA,NA,61,Yes,0.14,0.04,NA,0.01,0.18
Alias,Acclaim Entertainment,Acclaim Entertainment,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,1,1,NA,NA,64,No,0.04,0.01,NA,NA,0.05
Alien Hominid,Zoo Digital Publishing,Other,Shooter,Shooter,NA,2005,2005,T,T,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Aliens versus Predator: Extinction,Electronic Arts,Electronic Arts,Strategy,NA,Strategy,2003,2003,T,T,1,1,NA,NA,64,No,0.06,0.02,NA,NA,0.08
All-Star Baseball 2003,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,79,No,0.19,0.06,NA,0.01,0.26
All-Star Baseball 2004,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,74,No,0.1,0.03,NA,NA,0.13
All-Star Baseball 2005,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2004,2004,E,E,4,4,2,2,75,No,0.11,0.03,NA,0.01,0.15
Alter Echo,THQ,THQ,Shooter,Shooter,NA,2003,2003,T,T,1,1,NA,NA,62,No,0.04,0.01,NA,NA,0.05
American Chopper,Zoo Digital Publishing,Other,Racing,Racing,NA,2004,2004,T,T,1,1,NA,NA,44,No,0.11,0.03,NA,0.01,0.15
American Chopper 2: Full Throttle,Zoo Digital Publishing,Other,Racing,Racing,NA,2005,2005,T,T,1,1,NA,NA,NA,No,0.04,0.01,NA,NA,0.05
American McGee presents ScrapLand,Deep Silver,Other,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,2,2,NA,NA,NA,No,0.02,NA,NA,NA,0.02
America's Army: Rise of a Soldier,Ubisoft,Ubisoft,Shooter,Shooter,NA,2005,2005,T,T,1,1,16,16,70,Yes,0.19,0.05,NA,0.01,0.25
AMF Bowling 2004,Mud Duck Productions,Other,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,48,Yes,0.22,0.06,NA,0.01,0.3
AMF Xtreme Bowling,Bethesda Softworks,Other,Sports,Sports,NA,2006,2006,E,E,4,4,NA,NA,34,No,0.01,NA,NA,NA,0.01
Amped 2,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2003,2003,E,E,4,4,8,8,80,Yes,0.2,0.04,NA,0.01,0.25
Amped: Freestyle Snowboarding,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2001,2002,E,E,4,4,NA,NA,78,Yes,0.69,0.11,NA,0.02,0.82
And1 Streetball,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2006,2006,E,E,2,2,2,2,46,No,0.06,0.02,NA,NA,0.07
Angelic Concert,Success,Other,Music,NA,Music,2003,2003,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Animaniacs: The Great Edgar Hunt,Ignition Entertainment,Other,Platformer,NA,Platformer,2005,2005,E,E,1,1,NA,NA,58,No,NA,NA,NA,NA,NA
Antz Extreme Racing,Empire Interactive,Empire Interactive,Racing,Racing,NA,2002,2002,E,E,1,1,NA,NA,35,No,0.01,NA,NA,NA,0.02
Aoi Namida,Panther Software,Other,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Apex,Atari,Atari,Racing,Racing,NA,2003,2003,E,E,2,2,NA,NA,74,Yes,0.1,0.03,NA,NA,0.14
Aquaman: Battle for Atlantis,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,26,No,0.01,NA,NA,NA,0.01
Arctic Thunder,Midway Games,Midway Games,Racing,Racing,NA,2001,2002,T,T,4,4,NA,NA,57,No,0.09,0.02,NA,NA,0.12
Area 51,Midway Games,Midway Games,Shooter,Shooter,NA,2005,2005,M,M,4,4,16,16,72,No,0.22,0.06,NA,0.01,0.29
Arena Football,Electronic Arts,Electronic Arts,Sports,Sports,NA,2006,2006,E,E,4,4,4,4,65,No,0.11,0.03,NA,0.01,0.15
Armed and Dangerous,LucasArts,LucasArts,Shooter,Shooter,NA,2003,2003,T,T,1,1,NA,NA,79,Yes,0.09,0.03,NA,NA,0.13
Army Men: Major Malfunction,Global Star,Global Star,Shooter,Shooter,NA,2006,2006,T,T,1,1,NA,NA,36,No,0.01,NA,NA,NA,0.02
Army Men: Sarge's War,Global Star,Global Star,Shooter,Shooter,NA,2004,2004,T,T,4,4,NA,NA,44,No,0.09,0.02,NA,NA,0.11
Arx Fatalis,Mindscape,Other,RPG,NA,RPG,2003,2003,M,M,1,1,NA,NA,71,Yes,0.04,0.01,NA,NA,0.05
Atari Anthology,Atari,Atari,Collection,NA,Collection,2004,2004,E,E,4,4,NA,NA,68,No,0.19,0.05,NA,0.01,0.25
ATV Quad Power Racing 2,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,NA,2003,2003,E,E,4,4,NA,NA,68,No,0.36,0.07,NA,0.01,0.45
Auto Modellista,Capcom,Capcom,Racing,Racing,NA,2004,2004,E,E,2,2,8,8,52,No,NA,NA,NA,NA,0.01
Avatar: The Last Airbender,THQ,THQ,ActionAdventure,ActionAdventure,NA,2006,2006,E10,E,1,1,NA,NA,63,No,NA,NA,NA,NA,NA
Azurik: Rise of Perathia,Microsoft Game Studios,Microsoft Game Studios,ActionAdventure,ActionAdventure,NA,2001,2002,T,T,1,1,NA,NA,52,Yes,0.18,0.05,NA,0.01,0.24
Backyard Wrestling 2: There Goes the Neighborhood,Eidos Interactive,Eidos Interactive,Fighting,NA,Fighting,2004,2004,M,M,2,2,NA,NA,43,No,0.09,0.03,NA,NA,0.12
Backyard Wrestling: Don't Try This at Home,Eidos Interactive,Eidos Interactive,Fighting,NA,Fighting,2003,2003,M,M,2,2,NA,NA,50,No,0.13,0.04,NA,0.01,0.17
Bad Boys: Miami Takedown,Empire Interactive,Empire Interactive,Shooter,Shooter,NA,2004,2004,M,M,1,1,NA,NA,35,No,0.14,0.04,NA,0.01,0.18
Baldur's Gate: Dark Alliance,Virgin Interactive,Other,RPG,NA,RPG,2002,2002,T,T,2,2,NA,NA,83,No,0.15,0.04,NA,0.01,0.2
Baldur's Gate: Dark Alliance II,Acclaim Entertainment,Acclaim Entertainment,RPG,NA,RPG,2004,2004,T,T,2,2,NA,NA,77,No,0.19,0.06,NA,0.01,0.26
Barbarian,Titus,Other,Fighting,NA,Fighting,2003,2003,T,T,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Barbie Horse Adventures: Wild Horse Rescue,Vivendi Games,Vivendi Games,Sports,Sports,NA,2003,2003,E,E,1,1,NA,NA,52,No,0.05,0.01,NA,NA,0.06
Batman Begins,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,65,No,0.16,0.04,NA,0.01,0.21
Batman: Dark Tomorrow,Kemco,Other,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,25,No,0.08,0.02,NA,NA,0.11
Batman: Rise of Sin Tzu,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,2,2,NA,NA,67,No,0.08,0.02,NA,NA,0.11
Batman: Vengeance,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2001,2002,T,T,1,1,NA,NA,70,No,NA,NA,NA,NA,NA
Battle Engine Aquila,Atari,Atari,Shooter,Shooter,NA,2003,2003,T,T,2,2,NA,NA,76,No,0.01,NA,NA,NA,0.02
Battlefield 2: Modern Combat,Electronic Arts,Electronic Arts,Shooter,Shooter,NA,2005,2005,T,T,1,1,32,16,80,No,0.39,0.15,NA,0.02,0.56
Battlestar Galactica,Vivendi Games,Vivendi Games,Shooter,Shooter,NA,2003,2003,T,T,1,1,NA,NA,63,No,0.06,0.02,NA,NA,0.08
Beatdown: Fists of Vengeance,Capcom,Capcom,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,2,2,NA,NA,51,No,0.03,0.01,NA,NA,0.04
Beyond Good & Evil,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,87,No,0.08,0.02,NA,NA,0.1
Bicycle Casino 2005,Zoo Digital Publishing,Other,Misc,NA,Misc,2004,2004,E,E,4,4,8,8,49,Yes,0.17,0.05,NA,0.01,0.23
Big Mutha Truckers,Empire Interactive,Empire Interactive,Racing,Racing,NA,2002,2002,T,T,1,1,NA,NA,59,No,0.15,0.04,NA,0.01,0.19
Big Mutha Truckers 2,Empire Interactive,Empire Interactive,Racing,Racing,NA,2005,2005,M,M,1,1,NA,NA,50,No,0.05,0.02,NA,NA,0.07
Bionicle,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2003,2003,E,E,1,1,NA,NA,49,No,0.05,0.01,NA,NA,0.06
Black,Electronic Arts,Electronic Arts,Shooter,Shooter,NA,2006,2006,M,M,1,1,NA,NA,77,No,0.31,0.09,NA,0.01,0.42
Black Stone: Magic & Steel,THQ,THQ,RPG,NA,RPG,2003,2003,T,T,4,4,NA,NA,44,Yes,0.03,0.01,NA,NA,0.04
Blade II,Activision,Activision,ActionAdventure,ActionAdventure,NA,2002,2002,M,M,1,1,NA,NA,53,No,0.1,0.03,NA,NA,0.13
Blazing Angels: Squadrons of WWII,Ubisoft,Ubisoft,Simulation,NA,Simulation,2006,2006,T,T,2,2,16,16,69,No,0.06,0.02,NA,NA,0.08
Blinx 2: Masters of Time & Space,Microsoft Game Studios,Microsoft Game Studios,Platformer,NA,Platformer,2004,2004,E,E,4,4,NA,NA,68,Yes,0.12,0.03,NA,0.01,0.15
Blinx: The Time Sweeper,Microsoft Game Studios,Microsoft Game Studios,Platformer,NA,Platformer,2002,2002,E,E,1,1,NA,NA,71,Yes,0.39,0.15,NA,0.02,0.56
Blitz: The League,Midway Games,Midway Games,Sports,Sports,NA,2004,2004,M,M,2,2,2,2,78,No,0.4,0.11,NA,0.02,0.53
Blood Omen 2,Eidos Interactive,Eidos Interactive,ActionAdventure,ActionAdventure,NA,2002,2002,M,M,1,1,NA,NA,76,No,0.14,0.04,NA,0.01,0.19
Blood Wake,Majesco Entertainment,Other,Shooter,Shooter,NA,2001,2002,T,T,4,4,NA,NA,71,Yes,0.43,0.12,NA,0.02,0.57
BloodRayne,Majesco Entertainment,Other,Shooter,Shooter,NA,2002,2002,M,M,1,1,NA,NA,76,No,0.16,0.05,NA,0.01,0.21
BloodRayne 2,THQ,THQ,Shooter,Shooter,NA,2004,2004,M,M,1,1,NA,NA,71,No,0.11,0.03,NA,0.01,0.15
Bloody Roar Extreme,Hudson Soft,Other,Fighting,NA,Fighting,2003,2003,T,T,2,2,NA,NA,61,No,0.03,0.01,NA,NA,0.04
BlowOut,Zoo Digital Publishing,Other,Shooter,Shooter,NA,2003,2003,T,T,1,1,NA,NA,55,No,0.04,0.01,NA,NA,0.05
BMX XXX,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2002,2002,M,M,2,2,NA,NA,58,No,0.08,0.02,NA,NA,0.11
Breakdown,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,1,1,NA,NA,71,Yes,0.09,0.03,NA,NA,0.12
Broken Sword: The Sleeping Dragon,THQ,THQ,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,77,No,0.01,NA,NA,NA,0.02
Brothers In Arms: Earned in Blood,Ubisoft,Ubisoft,Shooter,Shooter,NA,2005,2005,M,M,2,2,4,4,85,No,0.23,0.07,NA,0.01,0.31
Brothers In Arms: Road to Hill 30,Ubisoft,Ubisoft,Shooter,Shooter,NA,2005,2005,M,M,2,2,4,4,88,No,0.49,0.14,NA,0.02,0.66
Bruce Lee: Quest of the Dragon,Universal Interactive,Other,Fighting,NA,Fighting,2002,2002,T,T,1,1,NA,NA,32,Yes,0.23,0.07,NA,0.01,0.31
Brute Force,Microsoft Game Studios,Microsoft Game Studios,Shooter,Shooter,NA,2003,2003,M,M,4,4,NA,NA,77,Yes,0.62,0.18,0.01,0.03,0.83
Buffy the Vampire Slayer,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,79,Yes,0.18,0.05,NA,0.01,0.23
Buffy the Vampire Slayer: Chaos Bleeds,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,73,No,0.09,0.03,NA,NA,0.12
Burnout,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,NA,2002,2002,E,E,2,2,NA,NA,75,No,0.09,0.03,NA,NA,0.13
Burnout 2: Point of Impact,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,NA,2003,2003,E,E,2,2,NA,NA,88,No,0.18,0.05,NA,0.01,0.24
Burnout 3: Takedown,Electronic Arts,Electronic Arts,Racing,Racing,NA,2004,2004,T,T,2,2,8,8,94,No,0.84,0.43,NA,0.04,1.31
Burnout Revenge,Electronic Arts,Electronic Arts,Racing,Racing,NA,2005,2005,E10,E,2,2,6,4,89,No,0.32,0.19,NA,0.01,0.53
Cabela's Big Game Hunter 2005 Adventures,Activision,Activision,Sports,Sports,NA,2004,2004,T,T,2,2,2,2,65,No,0.13,0.04,NA,0.01,0.18
Cabela's Dangerous Hunts,Activision,Activision,Sports,Sports,NA,2003,2003,T,T,1,1,NA,NA,NA,No,0.26,0.08,NA,0.01,0.35
Cabela's Dangerous Hunts 2,Activision,Activision,Sports,Sports,NA,2005,2005,T,T,1,1,NA,NA,63,No,0.08,0.02,NA,NA,0.11
Cabela's Deer Hunt 2005 Season,Activision,Activision,Sports,Sports,NA,2004,2004,T,T,1,1,NA,NA,59,No,0.09,0.02,NA,NA,0.11
Cabela's Deer Hunt: 2004 Season,Activision,Activision,Sports,Sports,NA,2003,2003,T,T,1,1,NA,NA,65,No,0.16,0.05,NA,0.01,0.21
Cabela's Outdoor Adventures,Activision,Activision,Sports,Sports,NA,2005,2005,T,T,1,1,NA,NA,NA,No,0.08,0.02,NA,NA,0.1
Call of Cthulhu: Dark Corners of the Earth,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,77,Yes,0.05,0.01,NA,NA,0.06
Call Of Duty 2: Big Red One,Activision,Activision,Shooter,Shooter,NA,2005,2005,T,T,1,1,16,16,78,No,0.66,0.4,NA,0.05,1.12
Call of Duty 3,Activision,Activision,Shooter,Shooter,NA,2006,2006,T,T,1,1,16,16,83,No,NA,NA,NA,NA,NA
Call of Duty: Finest Hour,Activision,Activision,Shooter,Shooter,NA,2004,2004,T,T,1,1,16,16,73,No,0.78,0.4,NA,0.04,1.21
Capcom Classics Collection,Capcom,Capcom,Collection,NA,Collection,2005,2005,T,T,3,2,NA,NA,81,No,0.11,0.03,NA,0.01,0.15
Capcom Classics Collection Volume 2,Capcom,Capcom,Collection,NA,Collection,2006,2006,T,T,4,4,NA,NA,82,No,NA,NA,NA,NA,NA
Capcom Fighting Evolution,Capcom,Capcom,Fighting,NA,Fighting,2005,2005,T,T,2,2,NA,NA,61,No,0.03,0.01,NA,NA,0.04
Capcom vs. SNK 2 EO,Capcom,Capcom,Fighting,NA,Fighting,2003,2003,T,T,2,2,2,2,80,No,0.08,0.02,NA,NA,0.1
Carmen Sandiego: The Secret of the Stolen Drums,BAM! Entertainment,Other,ActionAdventure,ActionAdventure,NA,2004,2004,E,E,1,1,NA,NA,53,No,0.02,0.01,NA,NA,0.02
Cars,THQ,THQ,Racing,Racing,NA,2006,2006,E,E,2,2,NA,NA,70,No,0.15,0.04,NA,0.01,0.2
Carve,Global Star,Global Star,Racing,Racing,NA,2004,2004,E,E,4,4,8,8,64,Yes,0.04,0.01,NA,NA,0.05
Castlevania: Curse of Darkness,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,74,No,0.09,0.03,NA,NA,0.12
Catwoman,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,1,1,NA,NA,45,No,0.04,0.01,NA,NA,0.06
Cel Damage,Electronic Arts,Electronic Arts,Racing,Racing,NA,2001,2002,T,T,4,4,NA,NA,65,No,0.09,0.03,NA,NA,0.12
Championship Bowling,Evolved Games,Other,Sports,Sports,NA,2006,2006,T,T,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Championship Manager 2006,Eidos Interactive,Eidos Interactive,Strategy,NA,Strategy,2006,2006,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Championship Manager 5,Eidos Interactive,Eidos Interactive,Sports,Sports,NA,2005,2005,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Championship Manager Season 01/02,Eidos Interactive,Eidos Interactive,Sports,Sports,NA,2002,2002,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Championship Manager Season 02/03,Eidos Interactive,Eidos Interactive,Sports,Sports,NA,2002,2002,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Charlie and the Chocolate Factory,Global Star,Global Star,ActionAdventure,ActionAdventure,NA,2005,2005,E,E,1,1,NA,NA,39,No,0.08,0.02,NA,NA,0.11
Chase: Hollywood Stunt Driver,BAM! Entertainment,Other,Racing,Racing,NA,2002,2002,T,T,4,4,NA,NA,60,Yes,0.09,0.03,NA,NA,0.12
Chessmaster,Ubisoft,Ubisoft,Misc,NA,Misc,2004,2004,E,E,2,2,2,2,79,No,0.1,0.03,NA,NA,0.13
Chicago Enforcer,Kemco,Other,Shooter,Shooter,NA,2005,2005,M,M,1,1,8,8,33,Yes,0.02,NA,NA,NA,0.02
Circus Maximus: Chariot Wars,THQ,THQ,Racing,Racing,NA,2002,2002,T,T,4,4,NA,NA,67,No,0.05,0.02,NA,NA,0.07
Classified: The Sentinel Crisis,Global Star,Global Star,Shooter,Shooter,NA,2005,2005,T,T,1,1,NA,NA,41,Yes,NA,NA,NA,NA,NA
Close Combat: First to Fight,Take-Two Interactive,Take-Two Interactive,Shooter,Shooter,NA,2005,2005,T,T,4,4,8,8,69,No,0.14,0.04,NA,0.01,0.18
Club Football,Codemasters,Codemasters,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Club Football 2005,Codemasters,Codemasters,Sports,Sports,NA,2004,2004,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,Global Star,Global Star,Platformer,NA,Platformer,2005,2005,E10,E,1,1,NA,NA,57,No,0.01,NA,NA,NA,0.02
Cold Fear,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,71,No,0.05,0.01,NA,NA,0.06
Cold War,DreamCatcher Interactive,Other,Shooter,Shooter,NA,2005,2005,T,T,1,1,NA,NA,60,Yes,0.02,0.01,NA,NA,0.02
Colin McRae Rally 04,Codemasters,Codemasters,Racing,Racing,NA,2004,2004,E,E,4,4,NA,NA,84,No,0.08,0.02,NA,NA,0.1
Colin McRae Rally 2005,Codemasters,Codemasters,Racing,Racing,NA,2004,2004,E,E,4,4,8,8,83,No,0.04,0.01,NA,NA,0.05
Colin McRae Rally 3,Codemasters,Codemasters,Racing,Racing,NA,2002,2002,E,E,4,4,NA,NA,86,No,0.03,0.01,NA,NA,0.04
College Hoops 2K6,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2005,2005,E,E,2,2,2,2,82,No,0.07,0.02,NA,NA,0.1
College Hoops 2K7,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2006,2006,E,E,2,2,2,2,73,No,NA,NA,NA,NA,NA
Combat Elite: WWII Paratroopers,SouthPeak Games,Other,Shooter,Shooter,NA,2005,2005,T,T,2,2,NA,NA,56,No,0.02,0.01,NA,NA,0.03
Combat: Task Force 121,Zoo Digital Publishing,Other,Shooter,Shooter,NA,2005,2005,M,M,4,4,16,16,44,Yes,0.05,0.02,NA,NA,0.07
Commandos 2: Men of Courage,Eidos Interactive,Eidos Interactive,Strategy,NA,Strategy,2002,2002,T,T,1,1,NA,NA,67,No,0.05,0.02,NA,NA,0.07
Commandos: Strike Force,Eidos Interactive,Eidos Interactive,Shooter,Shooter,NA,2006,2006,T,T,1,1,8,8,62,No,0.02,NA,NA,NA,0.02
Conan,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Conflict: Desert Storm,SCi,Other,Shooter,Shooter,NA,2002,2002,T,T,4,4,NA,NA,65,No,0.48,0.37,NA,0.02,0.87
Conflict: Desert Storm II - Back to Bagdhad,SCi,Other,Shooter,Shooter,NA,2003,2003,T,T,4,4,NA,NA,71,No,0.21,0.06,NA,0.01,0.28
Conflict: Global Terror,SCi,Other,Shooter,Shooter,NA,2005,2005,M,M,4,4,4,4,62,No,0.08,0.02,NA,NA,0.1
Conflict: Vietnam,SCi,Other,Shooter,Shooter,NA,2004,2004,M,M,4,4,NA,NA,60,No,0.17,0.05,NA,0.01,0.22
Conker: Live And Reloaded,Microsoft Game Studios,Microsoft Game Studios,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,2,2,16,16,78,Yes,0.49,0.2,NA,0.02,0.71
Conspiracy: Weapons of Mass Destruction,Oxygen Interactive,Other,Shooter,Shooter,NA,2005,2005,M,M,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Constantine,SCi,Other,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,60,No,0.04,0.01,NA,NA,0.06
Corvette,Take-Two Interactive,Take-Two Interactive,Racing,Racing,NA,2003,2003,E,E,2,2,NA,NA,53,No,0.18,0.05,NA,0.01,0.24
Counter-Strike,Microsoft Game Studios,Microsoft Game Studios,Shooter,Shooter,NA,2003,2003,M,M,1,1,16,16,74,Yes,0.85,0.23,NA,0.04,1.11
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,Other,Platformer,NA,Platformer,2002,2002,E,E,1,1,NA,NA,70,No,0.59,0.57,NA,0.07,1.23
Crash 'N' Burn,Eidos Interactive,Eidos Interactive,Racing,Racing,NA,2004,2004,T,T,1,1,16,16,65,No,0.07,0.02,NA,NA,0.09
Crash Nitro Kart,Vivendi Games,Vivendi Games,Racing,Racing,NA,2003,2003,E,E,4,4,NA,NA,70,No,0.24,0.07,NA,0.01,0.31
Crash Tag Team Racing,Vivendi Games,Vivendi Games,Racing,Racing,NA,2005,2005,E,E,4,4,NA,NA,69,No,0.09,0.03,NA,NA,0.13
Crash: Twinsanity,Vivendi Games,Vivendi Games,Platformer,NA,Platformer,2004,2004,E,E,1,1,NA,NA,66,No,0.11,0.03,NA,0.01,0.15
Crazy Taxi 3: High Roller,Sega,Sega,Racing,Racing,NA,2002,2002,T,T,1,1,NA,NA,69,Yes,0.14,0.04,0.02,0.01,0.2
Cricket 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Crime Life: Gang Wars,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,30,No,0.04,0.01,NA,NA,0.05
Crimson Sea,Tecmo Koei,Tecmo Koei,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,78,Yes,0.04,0.01,0.04,NA,0.09
Crimson Skies: High Road to Revenge,Microsoft Game Studios,Microsoft Game Studios,Simulation,NA,Simulation,2003,2003,T,T,1,1,16,16,88,Yes,0.65,0.19,NA,0.03,0.87
"Crouching Tiger, Hidden Dragon",Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,52,No,0.01,NA,NA,NA,0.01
Crusty Demons,Evolved Games,Other,Racing,Racing,NA,2006,2006,M,M,2,2,6,4,51,No,0.01,NA,NA,NA,0.01
CSI: Crime Scene Investigation,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,1,1,NA,NA,45,Yes,0.09,0.03,NA,NA,0.12
Curious George,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,NA,2006,2006,E,E,1,1,NA,NA,57,No,0.02,0.01,NA,NA,0.03
Curse: The Eye of Isis,Wanadoo,Other,ActionAdventure,ActionAdventure,NA,2003,2003,M,M,1,1,NA,NA,59,No,0.01,NA,NA,NA,0.01
Dai Senryaku VII: Modern Military Tactics,Kool Kizz,Other,Strategy,NA,Strategy,2003,2003,E,E,4,4,NA,NA,74,No,0.03,0.01,NA,NA,0.04
Dakar 2: The World's Ultimate Rally,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,NA,2003,2003,E,E,4,4,NA,NA,NA,No,0.02,NA,NA,NA,0.02
Dance Dance Revolution Ultramix,Konami Digital Entertainment,Konami Digital Entertainment,Music,NA,Music,2003,2003,E,E,4,4,4,4,82,Yes,0.42,0.11,NA,0.02,0.54
Dance Dance Revolution Ultramix 2,Konami Digital Entertainment,Konami Digital Entertainment,Music,NA,Music,2004,2004,E,E,4,4,4,4,78,Yes,0.32,0.09,NA,0.02,0.42
Dance Dance Revolution Ultramix 3,Konami Digital Entertainment,Konami Digital Entertainment,Music,NA,Music,2005,2005,E10,E,4,4,4,4,75,Yes,0.28,0.08,NA,0.01,0.38
Dance Dance Revolution Ultramix 4,Konami Digital Entertainment,Konami Digital Entertainment,Music,NA,Music,2006,2006,E10,E,4,4,4,4,76,Yes,NA,NA,NA,NA,NA
